,timestamp,ID,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_20pct_ff,samples_below_25pct_ff,samples_below_15pct_ff,samples_below_10pct_ff
0,02/16/2016 00:00:14,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1,02/16/2016 00:00:14,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2,02/16/2016 00:00:14,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
3,02/16/2016 00:00:14,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4,02/16/2016 00:00:14,402264,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
5,02/16/2016 00:00:14,402265,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6,02/16/2016 00:00:14,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7,02/16/2016 00:00:14,402267,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8,02/16/2016 00:00:14,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9,02/16/2016 00:00:14,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10,02/16/2016 00:00:14,402270,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
11,02/16/2016 00:00:14,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
12,02/16/2016 00:00:14,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
13,02/16/2016 00:00:44,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
14,02/16/2016 00:00:44,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15,02/16/2016 00:00:44,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
16,02/16/2016 00:00:44,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
17,02/16/2016 00:00:44,402264,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
18,02/16/2016 00:00:44,402265,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
19,02/16/2016 00:00:44,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
20,02/16/2016 00:00:44,402267,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
21,02/16/2016 00:00:44,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
22,02/16/2016 00:00:44,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
23,02/16/2016 00:00:44,402270,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
24,02/16/2016 00:00:44,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
